,sh.600025,sh.600026,sh.600028,sh.600039,sh.600085,sh.600111,sh.600160,sh.600188,sh.600415,sh.600674,sh.600795,sh.601058,sh.601088,sh.601127,sh.601169,sh.601225,sh.601288,sh.601328,sh.601600,sh.601699,sh.601857,sh.601898,sh.601899,sh.601985,sh.601988,sh.603260,sz.000301,sz.000408,sz.000807,sz.000963,sz.000983,sz.000999,sz.001965,sz.002028,sz.002466,sz.002594,sz.002920,sz.300274,sz.300308,sz.302132
sh.600025,0.00026055514263137295,9.668501681134046e-05,7.82216851859954e-05,0.0001578331353323416,7.875588402941354e-05,4.95904116260792e-05,0.0001319677786662596,0.00016172561374592945,4.2445447553497854e-05,0.0002295040620326527,0.000260869204737576,7.4454734671446e-05,0.00014160788848438757,9.348193004369453e-05,3.443888144499446e-05,0.00013039348745794526,2.4279608128586065e-05,2.7923699835557767e-05,0.00014050727773617724,0.0001418901261372834,9.130103084216858e-05,0.00015754542642781278,3.2768182206474506e-05,0.0002283715439845777,2.2681529969157943e-05,5.03961358578879e-05,7.315145150907431e-05,2.8372652578531305e-05,0.00012573766483188448,8.959362206197984e-05,0.00015993185553921045,7.568364537445502e-05,0.00010104620630561403,0.000128105676256476,-1.1216354743255115e-05,2.3398027462685363e-05,-1.592086345739443e-05,2.442228945475334e-05,-4.4902144188232885e-05,2.1831954229468396e-05
sh.600026,9.668501681134046e-05,0.0001836204594875072,0.00014081126275661295,9.759040806442567e-05,5.047966362171122e-05,0.000183978642766861,0.0001530578613655137,0.00036354950265958156,8.89948785938587e-05,9.1046765741668e-05,0.00010705621945485319,7.248519792288245e-05,0.00023543514525078553,0.00014275137064447972,6.138838589900131e-05,0.00028121694437017634,5.3319965056398966e-05,6.687970511834104e-05,0.00030925918649780823,0.00032227224509774377,0.000173279815100087,0.0003017235289997691,0.0002306130940832224,0.00013439262979565342,5.7582455001383994e-05,0.00012305023980594266,0.0001356244449707178,0.00011600071483464784,0.00032763392632617833,5.2466631463702225e-05,0.00035673732296467826,3.556646474112341e-05,9.397999695178548e-05,6.517258638170942e-05,0.0001532889357481056,7.044829205005264e-05,1.56615630808148e-05,4.115580973276067e-05,2.9352169055695888e-05,7.364779461669638e-05
sh.600028,7.822168518599538e-05,0.00014081126275661298,0.00012734503502497997,7.77802270385542e-05,5.618087485458085e-05,8.212097476346594e-05,6.991564368512983e-05,0.000246234126087921,8.949024930478566e-05,7.23947752628451e-05,8.773831610941284e-05,1.3072395759439868e-05,0.00017633419704470943,4.9462327609813506e-05,6.970174260607658e-05,0.0002007581407861971,7.008663750409245e-05,7.7328056815274e-05,0.00021374290515410624,0.00021646839965903093,0.00014965019667322833,0.00021978453880989952,0.0001575697417423796,0.00010869248575386265,7.283057161486753e-05,2.6642434759410974e-05,4.656874042694736e-05,3.996138017316112e-05,0.00022288117220766883,3.7778171058112624e-05,0.0002418851198964178,4.708565666696178e-05,9.905479550537544e-05,1.1295395687732081e-05,4.038886540559867e-05,5.716656553221935e-07,-3.8246372211970636e-05,-4.5439625919319985e-05,1.3897477078595351e-05,3.73385655570651e-05
sh.600039,0.0001578331353323416,9.759040806442565e-05,7.77802270385542e-05,0.00012607903711133218,0.00010810089225521428,0.00012728971252077477,0.00013753248402104416,0.00011395616755706122,7.885270193865298e-05,0.00014387693454455416,0.00016789889294731397,0.00011367119080398642,0.000103056352392171,0.00014452008856704644,4.5568707535385994e-05,0.00010898248035428011,3.4118964469149836e-05,4.1958914473460464e-05,0.0001662970015807044,0.00011232991316657589,8.999055167534215e-05,0.00012010820189000268,0.00010069988932576224,0.0001594575922732464,3.430563362232291e-05,0.00010099803026076156,0.00012276914762226584,9.427189391633138e-05,0.00016136544113408175,0.00011489439640902566,0.00013542107739454657,9.088960260590725e-05,8.948953801054509e-05,0.00012279475746174737,9.578190834855555e-05,9.773769072181186e-05,6.374006431318345e-05,9.186854767529946e-05,3.808039131875307e-05,8.022558137597267e-05
sh.600085,7.875588402941353e-05,5.047966362171122e-05,5.6180874854580856e-05,0.00010810089225521428,0.00018599899173435896,0.00014002200237856274,0.00010021514877658236,-0.00010319412580029156,0.0001297249668116261,7.837491249219044e-05,0.00010078810148316707,0.00014962787659375957,-1.7536965705681013e-05,0.00015898120045152407,6.580195783213028e-05,-2.2326534660006216e-05,5.583669670660468e-05,6.28996513974512e-05,9.827522528215462e-05,-6.076337770799015e-05,5.419311510013461e-05,-3.2123183840670935e-05,9.064769342302915e-05,9.954699745807069e-05,5.5379759349946616e-05,9.609616018545505e-05,0.00012938289164962852,0.00012053312323177112,8.782869609298412e-05,0.0001763132756534144,-3.9092677792838515e-05,0.00015328508169960348,9.356371984468404e-05,0.00012045181505580889,0.00012785373454519074,0.00015760285270547436,0.00014359701142208908,0.0001397912115071653,0.0001302557539376786,0.00013568022675573897
sh.600111,4.9590411626079194e-05,0.000183978642766861,8.212097476346594e-05,0.00012728971252077477,0.00014002200237856277,0.0005263412267988049,0.00037771315312860404,0.00029220518147390635,0.00011754833226029268,6.247946775889054e-05,7.591930460473335e-05,0.0003582253424272335,0.00015963924922489576,0.000493785761836759,2.3310051690460094e-05,0.00024351389936197833,-1.601973441989103e-05,1.4760909164634183e-05,0.00042399790028935713,0.0002985868787389671,0.00011506114025362416,0.00022848569740908738,0.0003706967789845128,0.00011339345531071928,-9.827165889894465e-06,0.0004577473019602256,0.0004546770669516918,0.0004125967825916821,0.00045558703172562286,0.0002050324087028623,0.0003497811919636439,8.427683194534602e-05,3.8320680859710766e-05,0.00028426900217046164,0.0005808553773795579,0.0004280860912254118,0.0003661118729635177,0.0004736421305150942,0.00021455533855893315,0.00027521922483638675
sh.600160,0.0001319677786662596,0.00015305786136551367,6.991564368512983e-05,0.00013753248402104416,0.00010021514877658235,0.00037771315312860404,0.0003137541115991093,0.00027546124547378026,7.2179080648341e-05,0.00012815383325025112,0.00014655023408973228,0.00027206761832012364,0.00016256036869633858,0.00037477993496874213,1.234071946212239e-05,0.00021715691607981807,-1.9798252900833487e-05,2.49846583332132e-06,0.0003330242019446553,0.00026777707298068597,9.767557434549341e-05,0.00021758694410014287,0.00025303330163282934,0.00015685698249891253,-1.622820909029373e-05,0.00034225401052470275,0.0003419772875317594,0.0002926943917047123,0.00035025839806020095,0.0001575114253769363,0.0003068396740474814,6.435020284310437e-05,4.523458679733278e-05,0.00024707968474803517,0.00039798401783518617,0.00030078189463192797,0.0002444602087861998,0.00034426818281427604,0.0001141483769833487,0.0001855937749856933
sh.600188,0.00016172561374592945,0.0003635495026595815,0.000246234126087921,0.00011395616755706122,-0.00010319412580029156,0.00029220518147390635,0.00027546124547378026,0.0009726163443375871,3.9101271501062135e-05,0.00014570816930159456,0.00015812127833834193,2.712995546094173e-05,0.0005672830946317028,0.00018661847031662147,4.997146032717537e-05,0.000679572771638051,3.7655859909144295e-05,6.217816065188356e-05,0.0006089662145035255,0.0008274975870203833,0.0003242776071771533,0.0007385102207224478,0.0004236159433794855,0.00021490159100581477,4.772074242684675e-05,0.00021424122428038305,0.00020022328679405007,0.00015422488952738394,0.0006627288594141389,-7.250671258993724e-05,0.0008822348702403211,-0.00010029629026457685,9.768367754910166e-05,5.08494105154361e-05,0.0002407695966118427,1.2480761208857617e-05,-0.00010102894768101219,-1.58263419522781e-05,-8.76698267742559e-05,2.185755017316374e-05
sh.600415,4.2445447553497854e-05,8.89948785938587e-05,8.949024930478566e-05,7.885270193865298e-05,0.0001297249668116261,0.00011754833226029269,7.2179080648341e-05,3.9101271501062135e-05,0.00012038098999416822,4.469846477505591e-05,6.0990247140547783e-05,8.228590073480218e-05,5.8412039451670726e-05,0.00010330868163779038,7.23863319698544e-05,7.025377450293198e-05,6.87167869888492e-05,7.610213255435493e-05,0.00014828425590334137,5.253097277455548e-05,9.78094378170252e-05,6.975051034053363e-05,0.00013328493567680888,7.752788259073217e-05,7.019054874816307e-05,6.0320563014950056e-05,8.761819108016412e-05,8.72962648081944e-05,0.00014935377102882717,0.00011096288133657269,7.60690519488131e-05,0.00010560927407533858,9.308484096685197e-05,5.3924444427978096e-05,9.791507874381954e-05,8.923838207859111e-05,6.712797365055886e-05,5.225261820647541e-05,9.449133256405182e-05,9.769610702838528e-05
sh.600674,0.0002295040620326527,9.1046765741668e-05,7.23947752628451e-05,0.00014387693454455416,7.837491249219044e-05,6.247946775889054e-05,0.00012815383325025112,0.00014570816930159456,4.469846477505591e-05,0.00020299036656184143,0.00023128439790156253,7.925816115829817e-05,0.00012712243852645969,9.99511700168655e-05,3.29514545484768e-05,0.00011972629182248374,2.275866781463773e-05,2.703110618380489e-05,0.00013751983326379703,0.0001299933712815665,8.46595984910547e-05,0.00014254602063019312,4.241114050393759e-05,0.00020431628470824487,2.1548906724500615e-05,5.952563523254658e-05,8.0309365094451e-05,4.013068892866621e-05,0.00012533659616207742,8.911657582689684e-05,0.0001478505235333489,7.304656116712883e-05,9.19884496818671e-05,0.0001225880231401328,1.082672901468077e-05,3.7277460695225555e-05,9.218236069096111e-07,3.8585388788280586e-05,-2.8469943763101148e-05,3.11677702511141e-05
sh.600795,0.000260869204737576,0.00010705621945485319,8.773831610941285e-05,0.000167898892947314,0.00010078810148316706,7.591930460473335e-05,0.00014655023408973228,0.0001581212783383419,6.0990247140547783e-05,0.00023128439790156253,0.000264538079575213,9.46068489997976e-05,0.00014321750208325503,0.00011776445190131455,4.362521552326671e-05,0.00013458656606304376,3.215959908595393e-05,3.728676854037977e-05,0.00016158350047156534,0.00014285608923068804,0.00010151373749800496,0.0001598587200487816,5.4894060175542466e-05,0.0002350948331607451,3.081993419447265e-05,6.807718571748473e-05,9.427803875337319e-05,4.967377043676258e-05,0.0001473314984705279,0.00011035258137825012,0.00016447713537432498,9.278683231188115e-05,0.00011162455411502363,0.00014091984329151952,1.58896992666349e-05,4.767142685537913e-05,5.9082656429901895e-06,4.54334781768816e-05,-2.356367078828034e-05,4.2594979752267915e-05
sh.601058,7.4454734671446e-05,7.248519792288245e-05,1.3072395759439868e-05,0.00011367119080398644,0.00014962787659375957,0.0003582253424272335,0.0002720676183201236,2.712995546094173e-05,8.228590073480216e-05,7.925816115829817e-05,9.46068489997976e-05,0.0003028396911194889,1.6331464135472148e-05,0.0003758178686507467,5.608666428705188e-06,5.063881662629187e-05,-2.659891243187436e-05,-7.499247280240855e-06,0.00021144818861974275,6.318182373424628e-05,2.2398098226398428e-05,3.093720435264448e-05,0.0001848467534702818,9.75849405953501e-05,-2.488579201999981e-05,0.00033123096979559074,0.0003354345388977064,0.0002984190727467361,0.00021843121548328418,0.00020207914613076794,9.324336262257086e-05,0.0001050838510144816,2.3321866659525675e-05,0.00025627635235198054,0.00040129303021116126,0.00034773228246702884,0.0003174995556980548,0.00039958607525247434,0.0001736885256088066,0.00021564935654653592
sh.601088,0.00014160788848438757,0.00023543514525078556,0.00017633419704470943,0.000103056352392171,-1.7536965705681013e-05,0.00015963924922489576,0.00016256036869633856,0.0005672830946317028,5.841203945167072e-05,0.0001271224385264597,0.00014321750208325503,1.6331464135472148e-05,0.00035164167845908766,0.00010374993685746658,5.6940001863240235e-05,0.00040976261239754786,5.135297819509362e-05,6.527220363511995e-05,0.000378158020640826,0.00048457504750187613,0.00022265174116159434,0.0004493048663834513,0.00025569999029881937,0.0001728863392075179,5.676577089005926e-05,0.00010210160294039503,0.00010735457163868688,7.865859552258466e-05,0.0004039092786607907,-1.1979319715042928e-05,0.0005215316224646286,-1.869227145411354e-05,0.000100034952983582,3.6132174714221835e-05,0.00010798092813764091,-4.947593393573598e-06,-7.731227196182129e-05,-3.9200626316556395e-05,-4.757331471067014e-05,2.003985326886237e-05
sh.601127,9.348193004369453e-05,0.00014275137064447972,4.946232760981351e-05,0.00014452008856704644,0.00015898120045152407,0.000493785761836759,0.00037477993496874213,0.0001866184703166215,0.00010330868163779038,9.995117001686551e-05,0.00011776445190131457,0.0003758178686507467,0.00010374993685746658,0.0004930447683533524,1.067363927743242e-05,0.00016748972650387854,-3.081524937689011e-05,-3.0496047329057393e-06,0.00035456034563128105,0.00020832417962777012,7.330447776610458e-05,0.00015019270918844059,0.000300352943158205,0.00013455515352513834,-2.675962273645535e-05,0.00044728720709666863,0.0004471453333350375,0.000397304887121046,0.0003742986316499402,0.000229522939580691,0.00025330677716500104,0.00010432355070034729,3.382530207706374e-05,0.00031635715822656967,0.0005457403779511528,0.0004349339628319939,0.0003816590369264219,0.0004958000909632157,0.00020574990896126438,0.00027055634429749435
sh.601169,3.443888144499446e-05,6.138838589900133e-05,6.970174260607658e-05,4.5568707535385994e-05,6.580195783213028e-05,2.3310051690460094e-05,1.234071946212239e-05,4.9971460327175364e-05,7.23863319698544e-05,3.29514545484768e-05,4.3625215523266704e-05,5.608666428705188e-06,5.6940001863240235e-05,1.067363927743242e-05,5.284249184749011e-05,6.016995753090952e-05,5.5511993300673e-05,5.7765556540557644e-05,8.396491575415341e-05,4.8742622160811194e-05,7.6010699006295e-05,6.625761651374626e-05,6.855248985961319e-05,5.377923508549249e-05,5.631327255501111e-05,-1.3219986890197369e-05,6.297449383332263e-06,9.526975297737023e-06,8.349490493274375e-05,4.390717213607155e-05,6.170651331536567e-05,5.7129299381554827e-05,6.893911918923706e-05,-1.8702146812114356e-06,-3.2460704667224945e-06,-1.3313359766019583e-06,-1.5619281753683814e-05,-3.7604634545892774e-05,2.931131559860745e-05,2.9663243718144028e-05
sh.601225,0.0001303934874579453,0.0002812169443701763,0.0002007581407861971,0.0001089824803542801,-2.2326534660006216e-05,0.00024351389936197833,0.0002171569160798181,0.0006795727716380511,7.025377450293198e-05,0.00011972629182248375,0.00013458656606304373,5.063881662629187e-05,0.00040976261239754786,0.00016748972650387854,6.016995753090952e-05,0.0004904321064750176,5.010458273479205e-05,6.959254332114802e-05,0.00047092800136669003,0.000585274194045314,0.0002571548499634474,0.0005307937792495727,0.0003372125855622036,0.00017850237924157644,5.746095008448579e-05,0.0001701250517312557,0.00017061957395573223,0.00013811149043842328,0.0005077022496837113,-7.495262090612517e-06,0.000631361066376922,-2.915924495857328e-05,0.00010129725433102535,5.753865920185907e-05,0.00020070174265663678,4.2429269940847456e-05,-4.359385278353619e-05,1.0473500198668842e-05,-2.628348248188074e-05,5.095877676687866e-05
sh.601288,2.427960812858606e-05,5.3319965056398966e-05,7.008663750409246e-05,3.4118964469149836e-05,5.5836696706604686e-05,-1.601973441989103e-05,-1.9798252900833487e-05,3.76558599091443e-05,6.87167869888492e-05,2.2758667814637728e-05,3.215959908595393e-05,-2.6598912431874358e-05,5.135297819509361e-05,-3.081524937689011e-05,5.5511993300673e-05,5.010458273479205e-05,6.20113266692492e-05,6.213140403871022e-05,5.9862457839379314e-05,3.4557440047713717e-05,7.485125699717909e-05,5.7685366535015346e-05,4.9521706952128235e-05,4.257067664949048e-05,6.260138524750537e-05,-5.179956997714386e-05,-3.12613860230665e-05,-2.281922631700655e-05,5.818358628624438e-05,2.6230731255720572e-05,4.4578623845835185e-05,5.108396637613179e-05,6.966383839774821e-05,-3.082062122717505e-05,-4.780878761031663e-05,-3.7930989496414795e-05,-4.8400292862596334e-05,-8.219616607214498e-05,1.5288593927853608e-05,9.175067372948772e-06
sh.601328,2.7923699835557764e-05,6.687970511834104e-05,7.7328056815274e-05,4.1958914473460464e-05,6.28996513974512e-05,1.4760909164634183e-05,2.4984658333213198e-06,6.217816065188356e-05,7.610213255435493e-05,2.703110618380489e-05,3.728676854037977e-05,-7.499247280240855e-06,6.527220363511995e-05,-3.0496047329057393e-06,5.776555654055764e-05,6.959254332114803e-05,6.213140403871022e-05,6.412851291873202e-05,8.856574989195722e-05,5.8142229454222665e-05,8.459408481860705e-05,7.689753659945514e-05,7.387353861317209e-05,5.045484641931076e-05,6.31588036508675e-05,-2.5850981276901337e-05,-5.434344467178092e-06,5.481921584767332e-07,8.910485430319322e-05,3.6711792338125755e-05,7.148923773291028e-05,5.511008072189857e-05,7.312489703378112e-05,-1.5719023737543716e-05,-1.4728807611016898e-05,-1.5161750448479925e-05,-3.001094873453063e-05,-5.7733675958659344e-05,2.6422654858119824e-05,2.4307785293242332e-05
sh.601600,0.00014050727773617727,0.0003092591864978083,0.00021374290515410624,0.0001662970015807044,9.827522528215459e-05,0.0004239979002893571,0.0003330242019446553,0.0006089662145035255,0.00014828425590334137,0.00013751983326379703,0.00016158350047156534,0.00021144818861974275,0.00037815802064082593,0.000354560345631281,8.396491575415341e-05,0.0004709280013666901,5.986245783937932e-05,8.856574989195721e-05,0.0005608075066670176,0.0005507357031924159,0.000269796304075674,0.0004943297324730717,0.00043579739678550444,0.0002121108575602233,6.791079797643117e-05,0.0003218320676587288,0.0003339926327944922,0.0002930486961022356,0.0005982131900995024,0.00012574482000657776,0.0006134644092106482,6.156853224482394e-05,0.00013049202242077762,0.0001781771826768548,0.000403588472519442,0.00023302705755697355,0.0001380191477431338,0.000212110524574047,0.0001027465720709438,0.00018419949524993827
